"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"49" "GS675" 0.227642276422764 0.857142857142857 5.46666666666667 0.857142857142857 14.3333333333333 7 27 3.85714285714286 8 7 7 7 2
"50" "GS871" 0.218931475029036 1 6.96666666666667 0.928571428571429 17.3333333333333 3 29 9.66666666666667 4 5.5 11 8 4.33333333333333
"51" "GS812" 0.227642276422764 1 10.6666666666667 1 52.3333333333333 2 27 13.5 3 12 12 12 7
"52" "GS651" 0.253774680603949 0.857142857142857 6.56666666666667 0.714285714285714 30.3333333333333 5 18 3.6 6 9.5 19 17 4.6
"53" "GS831" 0.246806039488966 0.857142857142857 7.76666666666667 0.785714285714286 30.3333333333333 4 15 3.75 6 20 20 20 6.25
"54" "GS715" 0.253774680603949 0.857142857142857 7.36666666666667 0.857142857142857 36.3333333333333 4 18 4.5 5 7 21 17 5.75
"55" "GS776" 0.246806039488966 1 9.36666666666667 0.928571428571429 44.3333333333333 3 15 5 5 11 22 20 8.33333333333333
"56" "GS919" 0.241579558652729 1 9.46666666666667 1 46.3333333333333 2 25 12.5 3 7.5 15 11 8
"57" "GS131" NA NA 0.7 NA 3 1 2 2 3 19 38 32 NA
"58" "GS451" 0.253774680603949 0.857142857142857 8.16666666666667 0.785714285714286 32.3333333333333 5 18 3.6 6 18 18 18 4.6
"59" "GS364" 0.218931475029036 0.857142857142857 7.36666666666667 0.785714285714286 34.3333333333333 3 12 4 4 26 26 26 9.66666666666667
"60" "GS600" 0.25609756097561 0.857142857142857 7.9 0.785714285714286 37 6 21 3.5 6 16 16 16 3.5
"61" "GS881" 0.246806039488966 0.714285714285714 6.16666666666667 0.714285714285714 26.3333333333333 5 15 3 8 18 18 18 5
"62" "GS557" 0.235191637630662 0.857142857142857 8.7 0.857142857142857 39 2 14 7 4 24 24 24 13.5
"63" "GS637" 0.227642276422764 0.857142857142857 2.26666666666667 0.785714285714286 8.33333333333333 7 26 3.71428571428571 9 2.66666666666667 8 4 2
"64" "GS850" 0.235191637630662 1 7.9 0.928571428571429 37 3 25 8.33333333333333 5 11 11 11 5
