"ID" "EV" "WMLR" "WEV" "BWMLR" "BWEV" "CPN" "TCS" "ECI" "LIT" "AILI" "TILI" "MILI" "II"
"64" "GS850" 0.21055900621118 1 2.17391304347826 0.928571428571429 8.49090909090909 23 104 4.52173913043478 33 3.5 21 11 2.08695652173913
"65" "GS983" 0.178105590062112 1 1.06719367588933 0.928571428571429 3.01818181818182 21 117 5.57142857142857 27 2.42857142857143 17 4 1.76190476190476
"66" "GS694" 0.238276397515528 1 4.85770750988142 0.928571428571429 15.2727272727273 23 93 4.04347826086957 29 6.5 39 17 2.69565217391304
"67" "GS980" 0.187888198757764 1 1.0197628458498 0.928571428571429 2.67272727272727 27 116 4.2962962962963 33 2.16666666666667 13 3 1.48148148148148
"68" "GS899" 0.199844720496894 1 2.26482213438735 1 7.36363636363636 22 111 5.04545454545455 28 3.28571428571429 23 10 2
"69" "GS170" 0.251552795031056 1 3.62450592885375 0.928571428571429 13.2 22 67 3.04545454545455 36 4.21428571428571 59 27 3.68181818181818
"70" "GS946" 0.194021739130435 1 1.42292490118577 0.928571428571429 4.47272727272727 20 110 5.5 29 2.625 21 4 2.1
"71" "GS082" 0.251319875776398 0.857142857142857 3.3399209486166 0.714285714285714 12.9636363636364 22 64 2.90909090909091 37 3.55555555555556 64 25 3.77272727272727
"72" "GS935" 0.21304347826087 1 3.66403162055336 1 13.4181818181818 16 104 6.5 25 3.66666666666667 33 17 3.0625
"73" "GS861" 0.21055900621118 1 2.44664031620553 0.928571428571429 8.76363636363636 23 106 4.60869565217391 31 3.42857142857143 24 8 2.08695652173913
"74" "GS343" 0.249378881987578 0.857142857142857 4.60474308300395 0.857142857142857 15.2545454545455 18 75 4.16666666666667 31 6.25 50 23 4.05555555555556
"75" "GS947" 0.194021739130435 1 3.69565217391304 0.928571428571429 14.8181818181818 16 111 NA 24 5.5 22 15 2.625
"76" "GS856" 0.21055900621118 1 2.53754940711462 1 6.56363636363636 20 105 5.25 28 3.22222222222222 29 8 2.4
"77" "GS922" 0.202639751552795 1 2.22529644268775 0.928571428571429 7.16363636363636 25 111 4.44 30 3.5 21 11 1.8
"78" "GS045" 0.248757763975155 0.857142857142857 3.300395256917 0.785714285714286 11.5636363636364 19 59 3.10526315789474 33 4.11111111111111 74 17 4.68421052631579
"79" "GS026" 0.24805900621118 1 4.62845849802372 0.928571428571429 12.6181818181818 13 53 4.07692307692308 32 4.625 74 19 NA
"80" "GS559" 0.239673913043478 1 2.83794466403162 0.857142857142857 8.85454545454546 21 83 3.95238095238095 37 3.88888888888889 35 10 3
"81" "GS666" 0.21777950310559 1 3.72332015810277 1 14.8727272727273 21 100 4.76190476190476 31 3.5 28 14 2.42857142857143
"82" "GS031" 0.246428571428571 1 2.45454545454545 0.785714285714286 5.41818181818182 16 50 3.125 36 3.66666666666667 77 12 5.75
"83" "GS602" 0.226319875776398 0.857142857142857 1.79446640316206 0.785714285714286 4.16363636363636 29 96 3.31034482758621 39 2.77777777777778 25 8 1.89655172413793
"84" "GS801" 0.222204968944099 1 3.40316205533597 0.928571428571429 11.4545454545455 23 103 4.47826086956522 29 4 32 16 2.30434782608696
"85" "GS813" 0.21777950310559 1 2.81422924901186 0.857142857142857 7.61818181818182 18 94 5.22222222222222 35 2.77777777777778 25 7 2.83333333333333
"86" "GS607" 0.245496894409938 1 4.22529644268775 0.928571428571429 13.6181818181818 17 81 4.76470588235294 29 3.78571428571429 53 20 4
"87" "GS253" 0.250388198757764 0.857142857142857 3.20158102766798 0.785714285714286 10.2545454545455 23 69 3 40 4.88888888888889 44 23 3.26086956521739
"88" "GS700" 0.230124223602484 0.857142857142857 2.71541501976285 0.785714285714286 9.69090909090909 28 99 3.53571428571429 33 3.66666666666667 33 15 2.03571428571429
"89" "GS437" 0.245496894409938 0.857142857142857 3.22529644268775 0.785714285714286 11 21 82 3.9047619047619 32 3.76923076923077 49 20 3.23809523809524
"90" "GS898" 0.222204968944099 1 5.58498023715415 1 23.0545454545455 20 105 5.25 24 NA 32 28 2.65
"91" "GS481" 0.239673913043478 1 4.29249011857708 0.928571428571429 15.6545454545455 22 93 4.22727272727273 27 6.14285714285714 43 24 2.86363636363636
"92" "GS342" 0.24805900621118 0.857142857142857 2.8102766798419 0.785714285714286 9.41818181818182 25 80 3.2 35 4 48 17 2.84
"93" "GS009" 0.194021739130435 0.714285714285714 3.42292490118577 0.642857142857143 13.2181818181818 NA NA 2.54545454545455 26 6.16666666666667 NA 31 NA
"94" "GS491" 0.242236024844721 1 3.96837944664032 0.857142857142857 16.0181818181818 24 87 3.625 33 6.33333333333333 38 27 2.70833333333333
"95" "GS277" 0.251475155279503 0.857142857142857 3.25691699604743 0.714285714285714 8.69090909090909 22 64 2.90909090909091 38 3.93333333333333 59 23 3.72727272727273
"96" "GS173" 0.251319875776398 1 4.88537549407115 0.857142857142857 17.4545454545455 22 75 3.40909090909091 31 6.22222222222222 56 22 3.54545454545455
"97" "GS697" 0.231909937888199 1 2.98814229249012 0.928571428571429 11.2909090909091 23 98 4.26086956521739 28 3.72727272727273 41 14 2.52173913043478
"98" "GS548" 0.239673913043478 0.857142857142857 3.56521739130435 0.857142857142857 12.8545454545455 22 89 4.04545454545455 32 4.1 41 20 2.86363636363636
"99" "GS399" 0.250388198757764 0.857142857142857 3.74703557312253 0.785714285714286 13.4727272727273 24 80 3.33333333333333 31 4.38461538461539 57 27 3.125
"100" "GS246" 0.251475155279503 0.857142857142857 3.16600790513834 0.714285714285714 7.89090909090909 24 69 2.875 35 4.35714285714286 61 16 3.41666666666667
"101" "GS092" 0.250776397515528 0.857142857142857 3.49407114624506 0.714285714285714 11.8545454545455 22 62 2.81818181818182 36 4.76923076923077 62 22 3.86363636363636
"102" "GS347" 0.249922360248447 1 4.45059288537549 0.785714285714286 15.0727272727273 23 79 3.43478260869565 31 5.3 53 32 3.21739130434783
"103" "GS168" 0.251086956521739 0.857142857142857 4.23715415019763 0.857142857142857 16.6181818181818 20 70 3.5 34 4.90909090909091 54 32 3.85
"104" "GS144" 0.251552795031056 1 4.44268774703557 0.785714285714286 15.4 21 65 3.0952380952381 38 5.2 52 30 3.80952380952381
"105" "GS893" 0.202639751552795 1 1.6798418972332 0.857142857142857 3.69090909090909 25 111 4.44 29 2.6 26 5 1.8
"106" "GS688" 0.224301242236025 1 3.5098814229249 0.857142857142857 11.2181818181818 20 97 4.85 31 4.83333333333333 29 18 2.7
"107" "GS748" 0.21777950310559 1 2.90513833992095 0.857142857142857 6.65454545454545 25 100 4 36 3.14285714285714 22 9 2.04
"108" "GS281" 0.249378881987578 1 4.60474308300395 0.928571428571429 15.8545454545455 18 73 4.05555555555556 34 4.54545454545455 50 27 4.05555555555556
"109" "GS027" 0.251475155279503 1 3.16600790513834 0.785714285714286 7.76363636363636 16 60 3.75 36 4.28571428571429 60 10 5.125
